ID_SAEB;ID_SERIE;TP_DISCIPLINA;NU_BLOCO;NU_POSICAO;ID_ITEM;NU_DESCRITOR_HABILIDADE;TX_GABARITO;TP_ITEM;TP_ITEM_MODELO;A;B;C;B1;B2;B3
2023;3;LP;6;9;19980;D8;D;Resposta Objetiva;M3P;0.76344;0.11315;0.09039;;;
2023;3;LP;6;10;109251;D12;B;Resposta Objetiva;M3P;0.75693;-0.12815;0.05683;;;
2023;3;LP;6;11;110819;D17;E;Resposta Objetiva;M3P;0.57911;-0.16102;0.16671;;;
2023;3;LP;6;12;110592;D13;X;Resposta Objetiva;M3P;;;;;;
2023;3;LP;6;13;34313;D18;A;Resposta Objetiva;M3P;0.7629;1.47979;0.30743;;;
2023;3;LP;7;1;111300;D3;C;Resposta Objetiva;M3P;0.9166;-0.31806;0.20145;;;
2023;3;LP;7;2;110425;D5;D;Resposta Objetiva;M3P;0.53416;-0.64249;0.19653;;;
2023;3;LP;7;3;110501;D6;A;Resposta Objetiva;M3P;0.64581;0.82295;0.17856;;;
2023;3;LP;7;4;110809;D6;A;Resposta Objetiva;M3P;0.68914;-0.38627;0.16474;;;
2023;3;LP;7;5;110455;D17;A;Resposta Objetiva;M3P;1.23702;-1.01875;0.14832;;;
2023;3;LP;7;6;110886;D18;B;Resposta Objetiva;M3P;0.62117;-0.16283;0.1525;;;
2023;3;LP;7;7;109520N;D14;B;Resposta Objetiva;M3P;0.77451;0.64931;0.12584;;;
2023;3;LP;7;8;110070;D1;D;Resposta Objetiva;M3P;0.84821;0.38706;0.1139;;;
2023;3;LP;7;9;34150;D14;B;Resposta Objetiva;M3P;0.60578;2.35137;0.23564;;;
2023;3;LP;7;10;110966N;D9;A;Resposta Objetiva;M3P;0.55129;1.52269;0.14477;;;
2023;3;LP;7;11;109479;D14;E;Resposta Objetiva;M3P;0.94421;0.6528;0.08793;;;
2023;3;LP;7;12;109613;D15;C;Resposta Objetiva;M3P;0.56592;0.78441;0.11434;;;
2023;3;LP;7;13;109620;D19;D;Resposta Objetiva;M3P;0.58226;0.26524;0.10668;;;
2023;3;MT;1;1;65920N;D15;C;Resposta Objetiva;M3P;1.76615;0.99331;0.23968;;;
2023;3;MT;1;2;65739;D16;E;Resposta Objetiva;M3P;2.0289;1.69505;0.08448;;;
2023;3;MT;1;3;110891;D1;C;Resposta Objetiva;M3P;0.74597;1.00046;0.14729;;;
2023;3;MT;1;4;110955;D27;D;Resposta Objetiva;M3P;0.96056;2.0959;0.27066;;;
2023;3;MT;1;5;110822;D19;B;Resposta Objetiva;M3P;2.68532;0.73705;0.14484;;;
2023;3;MT;1;6;47129;D11;D;Resposta Objetiva;M3P;1.03686;1.0611;0.14021;;;
2023;3;MT;1;7;140243;9N1.1;D;Resposta Objetiva;M3P;1.16578;1.11324;0.16256;;;
2023;3;MT;1;8;22405;D17;B;Resposta Objetiva;M3P;2.17376;0.58131;0.17079;;;
2023;3;MT;1;9;110532;D6;A;Resposta Objetiva;M3P;1.04868;0.32378;0.16449;;;
2023;3;MT;1;10;110756;D8;A;Resposta Objetiva;M3P;1.5602;2.18409;0.18947;;;
2023;3;MT;1;11;110054;D7;A;Resposta Objetiva;M3P;1.54735;2.36633;0.13714;;;
2023;3;MT;1;12;110711;D21;E;Resposta Objetiva;M3P;1.19254;2.52385;0.195;;;
2023;3;MT;1;13;110875N;D34;B;Resposta Objetiva;M3P;1.41643;1.21175;0.14811;;;
2023;3;MT;2;1;70381;D14;A;Resposta Objetiva;M3P;1.9093;1.0172;0.32916;;;
2023;3;MT;2;2;70336;D7;B;Resposta Objetiva;M3P;0.75663;2.78887;0.1771;;;
2023;3;MT;2;3;109554N;D35;D;Resposta Objetiva;M3P;1.19042;-1.02205;0.00513;;;
2023;3;MT;2;4;110758;D29;E;Resposta Objetiva;M3P;2.46711;0.9043;0.14063;;;
2023;3;MT;2;5;65843;D18;B;Resposta Objetiva;M3P;1.36033;0.89052;0.17129;;;
2023;3;MT;2;6;110929;D9;D;Resposta Objetiva;M3P;1.31267;1.3336;0.16274;;;
2023;3;MT;2;7;110212;D26;B;Resposta Objetiva;M3P;1.73932;1.34901;0.17701;;;
