ID_SAEB;ID_REGIAO;ID_UF;ID_MUNICIPIO;ID_AREA;ID_ESCOLA;IN_PUBLICA;ID_LOCALIZACAO;ID_TURMA;ID_SERIE;ID_ALUNO;IN_SITUACAO_CENSO;IN_PREENCHIMENTO_LP;IN_PREENCHIMENTO_MT;IN_PRESENCA_LP;IN_PRESENCA_MT;ID_CADERNO_LP;ID_BLOCO_1_LP;ID_BLOCO_2_LP;NU_BLOCO_1_ABERTA_LP;NU_BLOCO_2_ABERTA_LP;ID_CADERNO_MT;ID_BLOCO_1_MT;ID_BLOCO_2_MT;NU_BLOCO_1_ABERTA_MT;NU_BLOCO_2_ABERTA_MT;TX_RESP_BLOCO1_LP;TX_RESP_BLOCO2_LP;CO_CONCEITO_Q1_LP;CO_CONCEITO_Q2_LP;CO_RESPOSTA_TEXTO;CO_CONCEITO_SEQUENCIA;CO_CONCEITO_COESAO;CO_CONCEITO_PONTUACAO;CO_CONCEITO_SEGMENTACAO;CO_TEXTO_GRAFIA;TX_RESP_BLOCO1_MT;TX_RESP_BLOCO2_MT;CO_CONCEITO_Q1_MT;CO_CONCEITO_Q2_MT;IN_PROFICIENCIA_LP;IN_PROFICIENCIA_MT;IN_AMOSTRA;ESTRATO;PESO_ALUNO_LP;IN_ALFABETIZADO;PROFICIENCIA_LP;ERRO_PADRAO_LP;PROFICIENCIA_LP_SAEB;ERRO_PADRAO_LP_SAEB;PESO_ALUNO_MT;PROFICIENCIA_MT;ERRO_PADRAO_MT;PROFICIENCIA_MT_SAEB;ERRO_PADRAO_MT_SAEB
2023;1;11;6322171;2;61470222;1;2;1601981;2;49392494;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACCBCCAD;DCDADCAB;A;A;TX;A;A;C;B;A;CBBBDAABA;CBABACABB;0;12;1;1;1;11322;5,60471E+15;1;545276;325274;778434625;18022259;5,41176E+15;155635;448599;757438729;25359172
2023;1;11;6322171;2;61470222;1;2;1601981;2;49392495;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACCBCCAD;DCDADBCB;A;A;TX;A;B;B;B;A;CBBBDCABA;CBABACBBC;0;11;1;1;1;11322;5,60471E+15;1;613646;342727;782222734;18989235;5,41176E+15;16706;45085;758084603;25486421
2023;1;11;6322171;2;61470222;1;2;1601981;2;49393549;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACCBCDAD;DCDADBAD;A;A;TX;A;A;C;B;A;DBBBACACC;CBABACDCB;0;20;1;1;1;11322;5,60471E+15;1;801012;366117;792603997;20285175;5,41176E+15;-91807;453675;743450927;25646082
2023;1;11;6322171;2;61470222;1;2;1601981;2;49393550;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACCBBCAA;DCDADBAA;A;A;TX;C;B;C;A;A;DBBBDCABA;CBABACDBB;20;20;1;1;1;11322;5,60471E+15;1;189738;31301;75873557;17342741;5,41176E+15;1271641;543576;820526166;30728161
2023;1;11;6322171;2;61470222;1;2;1601981;2;49393551;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACCBCCAD;DCDADBAC;A;A;TX;C;B;C;B;B;CBBBDCABA;CBABACBBB;22;20;1;1;1;11322;5,60471E+15;1;728047;39408;788561272;21834505;5,41176E+15;107248;505843;809267678;28595139
2023;1;11;6322171;2;61470222;1;2;1601981;2;49393552;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;AADBCBBD;DCABDBAA;E;E;TX;C;C;C;C;C;BDBAACCBA;CCABBBDBA;22;12;1;1;1;11322;5,60471E+15;0;-783484;288287;704812894;15972936;5,41176E+15;-1189524;475581;681397362;26884464
2023;1;11;6322171;2;61470222;1;2;1601981;2;49393553;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACCBCBAD;DCDADBBB;A;A;TX;B;A;B;C;B;CBBBDCACA;CBADABCBB;0;20;1;1;1;11322;5,60471E+15;1;491168;350003;775436695;19392385;5,41176E+15;-7468;391898;748218564;22153856
2023;1;11;6322171;2;61470222;1;2;1601981;2;49393554;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;BCCBCCDD;DCDADBAA;A;A;TX;A;A;C;B;A;CBBBDCACA;CBABACABB;21;20;1;1;1;11322;5,60471E+15;1;211753;304936;759955314;16895371;5,41176E+15;813806;453691;794644953;25647023
2023;1;11;6322171;2;61470222;1;2;1601981;2;49393555;1;0;0;0;0;19;5;1;5;1;19;5;1;5;1;........;........;.;.;BR;.;.;.;.;.;.........;.........;.;.;0;0;1;11322;;0;;;;;;;;;
2023;1;11;6322171;2;61470222;1;2;1601981;2;49393556;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACCBCBAA;DCDADBAA;B;A;TX;A;A;C;B;A;CBBBDDACA;CBDBACDBB;22;20;1;1;1;11322;5,60471E+15;1;481085;337476;774878006;1869829;5,41176E+15;730689;459071;789946349;25951115
2023;1;11;6322171;2;61470222;1;2;1601981;2;49393557;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACCBCBAD;DCDADCCA;A;B;TX;B;A;B;B;A;CBBBDCACA;CBADADCBB;0;20;1;1;1;11322;5,60471E+15;1;271127;302972;763245038;16786551;5,41176E+15;-7468;391898;748218564;22153856
2023;1;11;6322171;2;61470222;1;2;1601981;2;49393558;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACAACCDA;DCDADBAB;B;A;TX;B;A;B;B;A;BBBBACACC;CBABCDCCB;0;20;1;1;1;11322;5,60471E+15;1;-8113;280119;743727752;15520371;5,41176E+15;-695669;41345;709314799;23372208
2023;1;11;6322171;2;61470222;1;2;1601981;2;49393559;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACCBCBBD;DCDADAAA;A;A;TX;C;B;C;B;A;CBBBDCCBA;CBACADABA;20;20;1;1;1;11322;5,60471E+15;1;22615;297813;760753022;16500719;5,41176E+15;67565;406998;752460168;23007461
2023;1;11;6322171;2;61470222;1;2;1601981;2;49393560;1;0;1;0;1;19;5;1;5;1;19;5;1;5;1;........;........;.;.;BR;.;.;.;.;.;CBBBDCABA;CBACADDBB;10;20;0;1;1;11322;;0;;;;;5,41176E+15;526761;421207;778418378;23810672
2023;1;11;6322171;2;61470222;1;2;1601981;2;49393561;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;BACBBBCB;DCBBCABB;A;G;NL;*;*;*;*;*;BBBCACABA;CBACCDBBC;0;20;1;1;1;11322;5,60471E+15;0;-1398339;327972;67074604;1817172;5,41176E+15;-894634;413583;698067367;23379685
2023;1;11;6322171;2;61470222;1;2;1601981;2;49393562;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACDBCCBA;DCAADBCC;A;A;TX;B;A;B;A;A;CBBBDCACB;CBCBADDBB;22;20;1;1;1;11322;5,60471E+15;1;22057;291883;749444951;16172185;5,41176E+15;473561;428761;775410964;24237719
2023;1;11;6322171;2;61470222;1;2;1601981;2;49393563;1;1;1;1;1;19;5;1;5;1;19;5;1;5;1;ACCBCCAD;DCDADBAC;A;A;TX;A;A;B;A;A;CBBBDCABA;CBABACBBC;20;10;1;1;1;11322;5,60471E+15;1;1457998;486411;829005185;2695026;5,41176E+15;506774;452294;777288529;25568017
2023;1;11;6322171;2;61470358;1;1;1586382;2;49394051;1;1;1;1;1;6;6;7;6;7;6;6;7;6;7;DABCBDDC;DCAACACC;B;B;TX;B;B;C;C;A;DABDDCCBA;DAADDDBBA;21;20;1;1;1;11312;4,25008E+16;0;-382014;276927;727056901;15343533;4,28463E+16;241286;440504;762280536;24901551
2023;1;11;6322171;2;61470358;1;1;1586382;2;49394052;1;1;1;1;1;6;6;7;6;7;6;6;7;6;7;ABCABAAC;DDCCDCAA;B;B;TX;B;B;C;C;B;DAADACCBA;BAABDDBBA;21;20;1;1;1;11312;4,25008E+16;0;-720638;28051;70829498;15542004;4,28463E+16;-263796;399965;733728462;22609916
2023;1;11;6322171;2;61470358;1;1;1586382;2;49394053;1;1;1;1;1;6;6;7;6;7;6;6;7;6;7;ADBCBADA;DAACCBAC;G;G;TX;A;A;A;B;A;ABBDDCCBA;DACBCCBBA;20;20;1;1;1;11312;4,25008E+16;0;-841572;390357;701594468;21628266;4,28463E+16;654901;438155;785662082;24768761
